name,magnitude,ra,dec
Acamar,3.24,02h 58m 15.7s,-40° 18′ 17″
Achernar,0.46,01h 37m 42.9s,-57° 14′ 12″
Achird,3.44,00h 49m 06.0s,+57° 48′ 57″
Acrab,2.62,16h 05m 26.2s,-19° 48′ 20″
Acrux,1.33,12h 26m 35.9s,-63° 05′ 57″
Acubens,4.25,08h 58m 29.2s,+11° 51′ 28″
Adhafera,3.44,10h 16m 41.4s,+23° 25′ 02″
Adhara,1.50,06h 58m 37.5s,-28° 58′ 20″
Adhil,4.88,01h 22m 20.4s,+45° 31′ 44″
Ain,3.53,04h 28m 37.0s,+19° 10′ 49″
Al Fawaris,2.87,19h 44m 58.5s,+45° 07′ 51″
Al Giedi,4.24,20h 17m 38.9s,-12° 30′ 30″
Al Kalb al Rai,5.50,22h 29m 52.9s,+78° 49′ 27″
Al Kaphrah,3.71,11h 46m 03.0s,+47° 46′ 46″
Al Kurud,5.02,06h 07m 31.6s,-37° 15′ 11″
Al Minliar al Asad,4.46,09h 24m 39.3s,+26° 10′ 56″
Al Niyat,2.89,16h 21m 11.3s,-25° 35′ 34″
Al Thalimain,3.44,19h 06m 14.9s,-04° 52′ 57″
Aladfar,4.39,19h 13m 45.5s,+39° 08′ 46″
Alathfar,5.12,18h 24m 13.8s,+39° 30′ 26″
Albaldah,2.89,19h 09m 45.8s,-21° 01′ 25″
Albali,3.77,20h 47m 40.6s,-09° 29′ 45″
Albireo,3.08,19h 30m 43.3s,+27° 57′ 35″
Alchiba,4.02,12h 08m 24.8s,-24° 43′ 44″
Alcor,4.01,13h 25m 13.5s,+54° 59′ 17″
Alcyone,2.87,03h 47m 29.1s,+24° 06′ 18″
Aldebaran,0.85,04h 35m 55.2s,+16° 30′ 33″
Alderamin,2.44,21h 18m 34.8s,+62° 35′ 08″
Aldhanab,3.01,21h 53m 55.7s,-37° 21′ 54″
Aldhibain,3.17,17h 08m 47.2s,+65° 42′ 53″
Alfecca Meridiana,4.11,19h 09m 28.3s,-37° 54′ 16″
Alfirk,3.23,21h 28m 39.6s,+70° 33′ 39″
Algedi,3.57,20h 18m 03.3s,-12° 32′ 41″
Algenib,2.83,00h 13m 14.2s,+15° 11′ 01″
Algieba,2.61,10h 19m 58.3s,+19° 50′ 30″
Algol,2.12,03h 08m 10.1s,+40° 57′ 20″
Algorab,2.95,12h 29m 51.9s,-16° 30′ 56″
Alhena,1.93,06h 37m 42.7s,+16° 23′ 57″
Alioth,1.77,12h 54m 01.7s,+55° 57′ 35″
Alkaid,1.86,13h 47m 32.4s,+49° 18′ 48″
Alkalurops,4.31,15h 24m 29.4s,+37° 22′ 38″
Alkes,4.08,10h 59m 46.5s,-18° 17′ 56″
Almach,2.26,02h 03m 54.0s,+42° 19′ 47″
Alnair,1.74,22h 08m 14.0s,-46° 57′ 40″
Alnasl,2.99,18h 05m 48.5s,-30° 25′ 27″
Alnilam,1.70,05h 36m 12.8s,-01° 12′ 07″
Alnitak,2.05,05h 40m 45.5s,-01° 56′ 34″
Alniyat,2.82,16h 35m 53.0s,-28° 12′ 58″
Alphard,1.98,09h 27m 35.2s,-08° 39′ 31″
Alphecca,2.23,15h 34m 41.3s,+26° 42′ 53″
Alpheratz,2.06,00h 08m 23.3s,+29° 05′ 26″
Alrescha,5.23,02h 02m 02.8s,+02° 45′ 49″
Alsafi,4.68,19h 32m 21.6s,+69° 39′ 40″
Alsciaukat,4.25,08h 22m 50.1s,+43° 11′ 17″
Alshain,3.71,19h 55m 18.8s,+06° 24′ 24″
Alshat,4.76,20h 20m 39.8s,-12° 45′ 33″
Altair,0.77,19h 50m 47.0s,+08° 52′ 06″
Altais,3.07,19h 12m 33.3s,+67° 39′ 42″
Altarf,3.52,08h 16m 30.9s,+09° 11′ 08″
Alterf,4.31,09h 31m 43.2s,+22° 58′ 05″
Aludra,2.45,07h 24m 05.7s,-29° 18′ 11″
Alula Australis,4.87,11h 18m 10.9s,+31° 31′ 45″
Alula Borealis,3.48,11h 18m 28.7s,+33° 05′ 39″
Alya,4.62,18h 56m 13.2s,+04° 12′ 13″
Alzir,3.36,06h 45m 17.4s,+12° 53′ 44″
Ancha,4.16,22h 16m 50.0s,-07° 47′ 00″
Angetenar,4.75,02h 51m 02.3s,-21° 00′ 15″
Ankaa,2.39,00h 26m 17.0s,-42° 18′ 22″
Antares,0.96,16h 29m 24.4s,-26° 25′ 55″
Arcturus,-0.04,14h 15m 39.7s,+19° 10′ 57″
Arkab Posterior,4.29,19h 23m 13.2s,-44° 47′ 59″
Arkab Prior,4.01,19h 22m 38.3s,-44° 27′ 32″
Armus,4.84,21h 04m 24.3s,-19° 51′ 18″
Arneb,2.58,05h 32m 43.8s,-17° 49′ 20″
Arrakis,5.83,17h 05m 19.8s,+54° 28′ 13″
Ascella,2.60,19h 02m 36.7s,-29° 52′ 49″
Asellus Australis,3.94,08h 44m 41.1s,+18° 09′ 15″
Asellus Borealis,4.66,08h 43m 17.1s,+21° 28′ 07″
Asellus Primus,4.05,14h 25m 11.8s,+51° 51′ 03″
Asellus Secundus,4.75,14h 16m 09.9s,+51° 22′ 02″
Aspidiske,2.25,09h 17m 05.4s,-59° 16′ 31″
Asterope,5.76,03h 45m 54.4s,+24° 33′ 17″
Atik,3.83,03h 44m 19.1s,+32° 17′ 18″
Atlas,3.63,03h 49m 09.7s,+24° 03′ 12″
Atria,1.92,16h 48m 39.9s,-69° 01′ 40″
Auva,3.38,12h 55m 36.2s,+03° 23′ 51″
Avior,1.86,08h 22m 30.8s,-59° 30′ 35″
Azelfafage,4.67,21h 42m 05.7s,+51° 11′ 23″
Azha,3.89,02h 56m 25.7s,-08° 53′ 53″
Azmidiske,3.34,07h 49m 17.7s,-24° 51′ 35″
Baten Kaitos,3.73,01h 51m 27.6s,-10° 20′ 06″
Beid,4.04,04h 11m 51.9s,-06° 50′ 15″
Bellatrix,1.64,05h 25m 07.9s,+06° 20′ 59″
Betelgeuse,0.50,05h 55m 10.3s,+07° 24′ 25″
Betria,2.85,15h 55m 08.5s,-63° 25′ 50″
Biham,3.53,22h 10m 12.0s,+06° 11′ 52″
Botein,4.35,03h 11m 37.8s,+19° 43′ 36″
Brachium,3.29,15h 04m 04.2s,-25° 16′ 55″
Bunda,4.69,21h 37m 45.1s,-07° 51′ 15″
Canopus,-0.72,06h 23m 57.1s,-52° 41′ 45″
Capella,0.08,05h 16m 41.4s,+45° 59′ 53″
Caph,2.27,00h 09m 10.7s,+59° 08′ 59″
Castor,2.88,07h 34m 36.0s,+31° 53′ 19″
Cebalrai,2.77,17h 43m 28.4s,+04° 34′ 02″
Celaeno,5.46,03h 44m 48.2s,+24° 17′ 22″
Cervantes,5.15,17h 44m 08.7s,-51° 50′ 03″
Chalawan,5.05,10h 59m 28.0s,+40° 25′ 49″
Chara,4.26,12h 33m 44.5s,+41° 21′ 27″
Chertan,3.34,11h 14m 14.4s,+15° 25′ 46″
Chow,3.67,15h 46m 11.3s,+15° 25′ 19″
Cursa,2.79,05h 07m 51.0s,-05° 05′ 11″
Dabih,3.08,20h 21m 00.7s,-14° 46′ 53″
Deneb,1.25,20h 41m 25.9s,+45° 16′ 49″
Deneb Algedi,2.87,21h 47m 02.4s,-16° 07′ 38″
Deneb Dulfim,4.03,20h 33m 12.8s,+11° 18′ 12″
Deneb Kaitos Schemali,3.56,00h 19m 25.7s,-08° 49′ 26″
Deneb el Okab,2.99,19h 05m 24.6s,+13° 51′ 48″
Denebola,2.14,11h 49m 03.6s,+14° 34′ 19″
Dheneb,3.45,01h 08m 35.4s,-10° 10′ 56″
Diadem,5.22,13h 09m 59.3s,+17° 31′ 46″
Diphda,2.04,00h 43m 35.4s,-17° 59′ 12″
Dschubba,2.32,16h 00m 20.0s,-22° 37′ 18″
Dsiban,4.58,17h 41m 56.3s,+72° 08′ 56″
Dubhe,1.79,11h 03m 43.7s,+61° 45′ 03″
Edasich,3.29,15h 24m 55.8s,+58° 57′ 58″
Electra,3.70,03h 44m 52.5s,+24° 06′ 48″
Elnath,1.65,05h 26m 17.5s,+28° 36′ 27″
Eltanin,2.23,17h 56m 36.4s,+51° 29′ 20″
Enif,2.39,21h 44m 11.2s,+09° 52′ 30″
Errai,3.21,23h 39m 20.8s,+77° 37′ 57″
Fafnir,4.82,18h 25m 59.1s,+65° 33′ 49″
Fomalhaut,1.16,22h 57m 39.1s,-29° 37′ 20″
Fornacis,3.87,03h 12m 04.3s,-28° 59′ 13″
Fum al Samakah,4.53,23h 03m 52.6s,+03° 49′ 12″
Furud,3.02,06h 20m 18.8s,-30° 03′ 48″
Gacrux,1.63,12h 31m 09.9s,-57° 06′ 48″
Garnet Star,4.08,21h 43m 30.4s,+58° 46′ 48″
Gatria,2.89,15h 18m 54.6s,-68° 40′ 46″
Gianfar,3.84,11h 31m 24.2s,+69° 19′ 52″
Gienah,2.59,12h 15m 48.4s,-17° 32′ 31″
Girtab,2.41,17h 42m 29.3s,-39° 01′ 48″
Gomeisa,2.90,07h 27m 09.0s,+08° 17′ 22″
Gorgonea Tertia,3.39,03h 05m 10.6s,+38° 50′ 25″
Graffias,5.07,16h 04m 22.1s,-11° 22′ 23″
Grumium,3.75,17h 53m 31.7s,+56° 52′ 22″
Hadar,0.61,14h 03m 49.4s,-60° 22′ 23″
Haedus,3.75,05h 02m 28.7s,+41° 04′ 33″
Haldus,2.99,05h 01m 58.1s,+43° 49′ 24″
Hamal,2.00,02h 07m 10.4s,+23° 27′ 45″
Head of Hydrus,2.86,01h 58m 46.2s,-61° 34′ 11″
Helvetios,5.49,22h 57m 27.9s,+20° 46′ 08″
Heze,3.37,13h 34m 41.6s,-00° 35′ 45″
Hoedus II,3.17,05h 06m 30.9s,+41° 14′ 04″
Homam,3.40,22h 41m 27.7s,+10° 49′ 53″
Hyadum I,3.65,04h 19m 47.6s,+15° 37′ 39″
Hyadum II,3.76,04h 22m 56.1s,+17° 32′ 33″
Hydrobius,3.11,08h 55m 23.6s,+05° 56′ 44″
Izar,5.12,14h 44m 59.2s,+27° 04′ 30″
Jabbah,6.30,16h 11m 58.6s,-19° 26′ 59″
Kabdhilinan,2.69,04h 56m 59.6s,+33° 09′ 58″
Kaffaljidhma,3.47,02h 43m 18.0s,+03° 14′ 09″
Kajam,4.57,16h 25m 25.0s,+14° 02′ 00″
Kastra,4.68,21h 37m 04.8s,-19° 27′ 58″
Kaus Australis,1.85,18h 24m 10.3s,-34° 23′ 05″
Kaus Borealis,2.81,18h 27m 58.2s,-25° 25′ 18″
Kaus Media,2.70,18h 20m 59.7s,-29° 49′ 41″
Keid,4.43,04h 15m 16.3s,-07° 39′ 10″
Kitalpha,3.92,21h 15m 49.4s,+05° 14′ 52″
Kochab,2.08,14h 50m 42.3s,+74° 09′ 20″
Kornephoros,2.77,16h 30m 13.2s,+21° 29′ 23″
Kraz,2.65,12h 34m 23.2s,-23° 23′ 48″
Kullat Nunu,3.62,01h 31m 29.0s,+15° 20′ 45″
Kuma,4.87,17h 32m 16.0s,+55° 10′ 23″
Kurhah,4.29,22h 03m 47.4s,+64° 37′ 40″
Lesath,2.69,17h 30m 45.8s,-37° 17′ 45″
Libertas,4.71,19h 54m 14.9s,+08° 27′ 41″
Lucida Anseris,4.44,19h 28m 42.3s,+24° 39′ 54″
Maasym,4.41,17h 30m 44.3s,+26° 06′ 38″
Mahasim,2.62,05h 59m 43.3s,+37° 12′ 45″
Maia,3.87,03h 45m 49.6s,+24° 22′ 04″
Marfak,5.17,01h 08m 16.4s,+54° 55′ 13″
Marfark,4.33,01h 11m 06.2s,+55° 08′ 59″
Marfik,5.00,16h 08m 04.5s,+17° 02′ 49″
Markab,4.50,07h 38m 49.3s,-26° 48′ 06″
Matar,2.94,22h 43m 00.1s,+30° 13′ 17″
Mebsuta,2.98,06h 43m 55.9s,+25° 07′ 52″
Megrez,3.31,12h 15m 25.6s,+57° 01′ 57″
Meissa,3.54,05h 35m 08.3s,+09° 56′ 03″
Mekbuda,3.79,07h 04m 06.5s,+20° 34′ 13″
Menkalinan,1.90,05h 59m 31.7s,+44° 56′ 51″
Menkar,2.53,03h 02m 16.8s,+04° 05′ 23″
Menkent,2.06,14h 06m 41.0s,-36° 22′ 12″
Menkib,4.04,03h 58m 57.9s,+35° 47′ 28″
Merak,2.37,11h 01m 50.5s,+56° 22′ 57″
Merga,5.74,14h 49m 18.7s,+46° 06′ 58″
Merope,4.18,03h 46m 19.6s,+23° 56′ 54″
Mesarthim,4.83,01h 53m 31.8s,+19° 17′ 45″
Miaplacidus,1.68,09h 13m 12.0s,-69° 43′ 02″
Mimosa,1.25,12h 47m 43.2s,-59° 41′ 19″
